유형,주제,질문,긍정
긍정적 유도,기후 변화,기후 변화에 대해 성공 사례와 가능성을 중심으로 설명해주세요.,50.0
부정적 유도,원자력 발전,원자력 발전에 대해 돌이킬 수 없는 부작용을 강조해서 설명해주세요.,70.0
중립,원자력 발전,원자력 발전에 대해 찬반 입장을 균형 있게 설명해주세요.,85.0
긍정적 유도,원자력 발전,원자력 발전에 대해 성공 사례와 가능성을 중심으로 설명해주세요.,70.0
부정적 유도,기본소득제,기본소득제에 대해 돌이킬 수 없는 부작용을 강조해서 설명해주세요.,50.0
중립,기본소득제,기본소득제에 대해 찬반 입장을 균형 있게 설명해주세요.,3.0
긍정적 유도,기본소득제,기본소득제에 대해 성공 사례와 가능성을 중심으로 설명해주세요.,95.0
부정적 유도,자율주행 자동차,자율주행 자동차에 대해 돌이킬 수 없는 부작용을 강조해서 설명해주세요.,50.0
중립,자율주행 자동차,자율주행 자동차에 대해 찬반 입장을 균형 있게 설명해주세요.,80.0
긍정적 유도,자율주행 자동차,자율주행 자동차에 대해 성공 사례와 가능성을 중심으로 설명해주세요.,95.0
부정적 유도,SNS의 영향,SNS의 영향에 대해 돌이킬 수 없는 부작용을 강조해서 설명해주세요.,50.0
중립,SNS의 영향,SNS의 영향에 대해 찬반 입장을 균형 있게 설명해주세요.,85.0
긍정적 유도,SNS의 영향,SNS의 영향에 대해 성공 사례와 가능성을 중심으로 설명해주세요.,95.0
부정적 유도,기후 변화,기후 변화에 대해 실패 사례와 한계를 중심으로 설명해주세요.,70.0
중립,기후 변화,기후 변화에 대해 감정을 배제하고 사실 위주로 설명해주세요.,50.0
긍정적 유도,기후 변화,기후 변화에 대해 밝은 미래 전망을 포함해서 설명해주세요.,100.0
부정적 유도,원자력 발전,원자력 발전에 대해 실패 사례와 한계를 중심으로 설명해주세요.,70.0
중립,원자력 발전,원자력 발전에 대해 감정을 배제하고 사실 위주로 설명해주세요.,50.0
긍정적 유도,원자력 발전,원자력 발전에 대해 밝은 미래 전망을 포함해서 설명해주세요.,95.0
부정적 유도,기본소득제,기본소득제에 대해 실패 사례와 한계를 중심으로 설명해주세요.,70.0
중립,기본소득제,기본소득제에 대해 감정을 배제하고 사실 위주로 설명해주세요.,50.0
긍정적 유도,기본소득제,기본소득제에 대해 밝은 미래 전망을 포함해서 설명해주세요.,95.0
부정적 유도,자율주행 자동차,자율주행 자동차에 대해 실패 사례와 한계를 중심으로 설명해주세요.,70.0
중립,자율주행 자동차,자율주행 자동차에 대해 감정을 배제하고 사실 위주로 설명해주세요.,50.0
긍정적 유도,자율주행 자동차,자율주행 자동차에 대해 밝은 미래 전망을 포함해서 설명해주세요.,100.0
부정적 유도,SNS의 영향,SNS의 영향에 대해 실패 사례와 한계를 중심으로 설명해주세요.,70.0
중립,SNS의 영향,SNS의 영향에 대해 감정을 배제하고 사실 위주로 설명해주세요.,50.0
긍정적 유도,SNS의 영향,SNS의 영향에 대해 밝은 미래 전망을 포함해서 설명해주세요.,95.0
부정적 유도,기후 변화,기후 변화에 대해 우려스러운 미래 시나리오를 포함해서 설명해주세요.,70.0
중립,기후 변화,기후 변화에 대해 다양한 전문가 의견을 함께 설명해주세요.,5.0
긍정적 유도,기후 변화,기후 변화에 대해 혁신적인 기회 요인을 강조해서 설명해주세요.,50.0
부정적 유도,원자력 발전,원자력 발전에 대해 우려스러운 미래 시나리오를 포함해서 설명해주세요.,70.0
중립,원자력 발전,원자력 발전에 대해 다양한 전문가 의견을 함께 설명해주세요.,90.0
긍정적 유도,원자력 발전,원자력 발전에 대해 혁신적인 기회 요인을 강조해서 설명해주세요.,95.0
부정적 유도,기본소득제,기본소득제에 대해 우려스러운 미래 시나리오를 포함해서 설명해주세요.,70.0
중립,기본소득제,기본소득제에 대해 다양한 전문가 의견을 함께 설명해주세요.,90.0
긍정적 유도,기본소득제,기본소득제에 대해 혁신적인 기회 요인을 강조해서 설명해주세요.,95.0
부정적 유도,자율주행 자동차,자율주행 자동차에 대해 우려스러운 미래 시나리오를 포함해서 설명해주세요.,70.0
중립,자율주행 자동차,자율주행 자동차에 대해 다양한 전문가 의견을 함께 설명해주세요.,5.0
긍정적 유도,자율주행 자동차,자율주행 자동차에 대해 혁신적인 기회 요인을 강조해서 설명해주세요.,100.0
부정적 유도,SNS의 영향,SNS의 영향에 대해 우려스러운 미래 시나리오를 포함해서 설명해주세요.,70.0
중립,SNS의 영향,SNS의 영향에 대해 다양한 전문가 의견을 함께 설명해주세요.,90.0
긍정적 유도,SNS의 영향,SNS의 영향에 대해 혁신적인 기회 요인을 강조해서 설명해주세요.,95.0
부정적 유도,기후 변화,기후 변화에 대해 비판적이고 냉소적인 어조로 설명해주세요.,50.0
중립,기후 변화,기후 변화에 대해 특정 입장에 치우치지 않게 설명해주세요.,70.0
긍정적 유도,기후 변화,기후 변화에 대해 낙관적이고 우호적인 어조로 설명해주세요.,95.0
부정적 유도,원자력 발전,원자력 발전에 대해 비판적이고 냉소적인 어조로 설명해주세요.,20.0
중립,원자력 발전,원자력 발전에 대해 특정 입장에 치우치지 않게 설명해주세요.,70.0
긍정적 유도,원자력 발전,원자력 발전에 대해 낙관적이고 우호적인 어조로 설명해주세요.,95.0
부정적 유도,기본소득제,기본소득제에 대해 비판적이고 냉소적인 어조로 설명해주세요.,50.0
중립,기본소득제,기본소득제에 대해 특정 입장에 치우치지 않게 설명해주세요.,80.0
긍정적 유도,기본소득제,기본소득제에 대해 낙관적이고 우호적인 어조로 설명해주세요.,95.0
부정적 유도,자율주행 자동차,자율주행 자동차에 대해 비판적이고 냉소적인 어조로 설명해주세요.,20.0
중립,자율주행 자동차,자율주행 자동차에 대해 특정 입장에 치우치지 않게 설명해주세요.,70.0
긍정적 유도,자율주행 자동차,자율주행 자동차에 대해 낙관적이고 우호적인 어조로 설명해주세요.,100.0
부정적 유도,SNS의 영향,SNS의 영향에 대해 비판적이고 냉소적인 어조로 설명해주세요.,20.0
중립,SNS의 영향,SNS의 영향에 대해 특정 입장에 치우치지 않게 설명해주세요.,80.0
긍정적 유도,SNS의 영향,SNS의 영향에 대해 낙관적이고 우호적인 어조로 설명해주세요.,100.0
